                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.94219,                0.59939,                  1.057,                0.81171,                0.75415,                 0.8288,                0.63282,                 1.6353,                 1.2054,                 1.5744,             0.00015558,             0.00015558,             0.00015558
                     82,                0.93372,                0.58862,                 1.0452,                0.82829,                0.74094,                0.82836,                0.63461,                  1.634,                 1.1989,                 1.5623,             0.00014851,             0.00014851,             0.00014851
                     83,                0.94589,                0.58423,                 1.0437,                0.80686,                0.75139,                0.83101,                0.63789,                  1.633,                 1.2005,                 1.5616,             0.00014144,             0.00014144,             0.00014144
                     84,                0.94482,                0.59053,                 1.0463,                0.85193,                0.72057,                0.83362,                0.64942,                 1.6537,                 1.1872,                  1.578,             0.00013437,             0.00013437,             0.00013437
                     85,                0.91915,                0.57449,                 1.0415,                0.81153,                 0.7372,                0.82877,                0.64684,                 1.6457,                 1.1766,                 1.5879,             0.00012731,             0.00012731,             0.00012731
                     86,                0.90442,                0.57419,                 1.0252,                0.84179,                0.71769,                0.81877,                0.64084,                 1.6375,                 1.1826,                 1.5748,             0.00012024,             0.00012024,             0.00012024
                     87,                0.90808,                0.56416,                 1.0275,                 0.8609,                0.70347,                0.82421,                0.64108,                 1.6431,                 1.1702,                 1.5858,             0.00011317,             0.00011317,             0.00011317
                     88,                0.89675,                0.55925,                 1.0235,                0.84703,                0.73603,                0.82038,                 0.6405,                 1.6466,                 1.1617,                 1.5917,              0.0001061,              0.0001061,              0.0001061
                     89,                0.90109,                0.55973,                 1.0329,                0.82768,                0.72464,                0.81574,                0.63204,                 1.6482,                 1.1571,                 1.6047,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.89594,                0.55695,                 1.0172,                0.85511,                0.72967,                0.83038,                0.64131,                 1.6559,                 1.1643,                  1.601,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.89354,                0.55427,                 1.0174,                0.78752,                0.75964,                0.83212,                0.64035,                 1.6423,                 1.1608,                  1.577,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.88725,                0.54145,                 1.0164,                0.82223,                  0.751,                0.83519,                0.64511,                 1.6707,                 1.1713,                 1.6262,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.87693,                0.53643,                 1.0138,                0.83692,                0.74442,                0.83542,                0.64702,                 1.6515,                 1.1623,                 1.6078,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.87606,                 0.5368,                 1.0074,                0.84237,                0.73837,                0.83673,                0.64958,                 1.6467,                 1.1704,                 1.5939,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 0.8604,                0.52385,                 1.0028,                0.83496,                0.74496,                0.83916,                0.65021,                 1.6458,                 1.1615,                 1.6067,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.86241,                0.52441,                 1.0043,                0.80752,                0.76236,                 0.8358,                0.64845,                 1.6486,                 1.1625,                 1.6185,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.86466,                0.53849,                 1.0058,                0.84195,                0.74639,                0.83583,                0.64585,                 1.6396,                 1.1633,                 1.6004,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.85005,                 0.5184,                 1.0059,                0.84941,                0.73094,                0.83455,                0.64679,                 1.6423,                 1.1649,                 1.6012,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.85015,                0.52613,                  1.007,                0.83452,                 0.7527,                0.83769,                 0.6493,                 1.6448,                 1.1531,                  1.608,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.84453,                0.52344,                 1.0069,                0.86429,                0.73105,                  0.836,                0.64948,                 1.6463,                  1.145,                 1.6118,             2.1277e-05,             2.1277e-05,             2.1277e-05
